WY,Oct_Mar,Apr_Jul,WYsum,Index,WYtype,watershed
1996,  13.05,   8.37,  22.29,  10.26,    W,Sacramento Valley
1997,  20.22,   4.39,  25.42,  10.82,    W,Sacramento Valley
1998,  17.65,  12.54,  31.40,  13.31,    W,Sacramento Valley
1999,  12.97,   7.26,  21.19,   9.80,    W,Sacramento Valley
2000,  12.06,   5.96,  18.90,   8.94,   AN,Sacramento Valley
2001,   5.64,   3.46,   9.81,   5.76,    D,Sacramento Valley
2002,   9.32,   4.57,  14.60,   6.35,    D,Sacramento Valley
2003,  10.71,   7.74,  19.31,   8.21,   AN,Sacramento Valley
2004,  10.95,   4.40,  16.04,   7.51,   BN,Sacramento Valley
2005,   8.40,   9.28,  18.55,   8.49,   AN,Sacramento Valley
2006,  18.06,  13.09,  32.09,  13.20,    W,Sacramento Valley
2007,   6.59,   3.04,  10.28,   6.19,    D,Sacramento Valley
2008,   5.90,   3.82,  10.28,   5.16,    C,Sacramento Valley
2009,   7.05,   5.30,  13.02,   5.78,    D,Sacramento Valley
2010,   7.45,   7.78,  16.01,   7.08,   BN,Sacramento Valley
2011,  12.68,  11.53,  25.21,  10.54,    W,Sacramento Valley
2012,   5.69,   5.46,  11.84,   6.89,   BN,Sacramento Valley
2013,   8.52,   3.01,  12.19,   5.83,    D,Sacramento Valley
2014,   4.29,   2.59,   7.46,   4.07,    C,Sacramento Valley
2015,   6.91,   1.77,   9.23,   4.00,    C,Sacramento Valley
2016,  12.24,   4.60,  17.48,   6.71,   BN,Sacramento Valley
2017,  26.17,  10.69,  37.82,  14.14,    W,Sacramento Valley
2018,   7.09,   5.05,  12.86,   7.14,   BN,Sacramento Valley
1907,     3.67,   7.61,  11.82,  6.20,    W,San Joaquin Valley
1908,     0.98,   2.17,   3.32,  2.40,    D,San Joaquin Valley
1909,     2.85,   5.91,   8.97,  4.59,    W,San Joaquin Valley
1910,     2.87,   3.62,   6.64,  3.65,   AN,San Joaquin Valley
1911,     3.63,   7.52,  11.48,  5.97,    W,San Joaquin Valley
1912,     0.54,   2.57,   3.21,  2.55,   BN,San Joaquin Valley
1913,     0.44,   2.34,   3.00,  2.00,    C,San Joaquin Valley
1914,     2.72,   5.67,   8.69,  4.35,    W,San Joaquin Valley
1915,     1.29,   4.95,   6.40,  4.10,    W,San Joaquin Valley
1916,     2.67,   5.50,   8.38,  4.65,    W,San Joaquin Valley
1917,     1.66,   4.84,   6.66,  4.13,    W,San Joaquin Valley
1918,     1.07,   3.40,   4.59,  3.08,   BN,San Joaquin Valley
1919,     1.06,   2.99,   4.09,  2.62,   BN,San Joaquin Valley
